"Method","Mean1_1","SD1_1","CI1_1","EHSS1_1","Mean1_2","SD1_2","CI1_2","EHSS1_2"
"CD",44.2901440828294,17.1370450970299,"( 4.7, 71.6)","",44.2901440828294,17.1370450970299,"( 4.7, 71.6)",""
"PD",36.191015785,9.97878809698983,"(16.0, 54.7)","",33.9045363956875,10.1368145203299,"(13.0, 52.7)",""
"EX",36.7126129867437,12.0510064533037,"(12.0, 59.3)"," 43.9",36.8600169818938,14.3273557546955,"( 6.9, 62.9)"," 11.8"
"EXNEX",36.7883319931875,12.0278473696032,"(12.1, 59.1)"," 42.0",36.6244824742,14.2336698668418,"( 7.1, 62.7)"," 12.1"
"DPMEX",37.0998348189383,11.8378393657532,"(12.2, 58.6)"," 58.2",37.1154771700917,12.6689862574181,"( 9.8, 59.5)"," 45.2"
"DMPP",36.3238662655417,10.3894599355995,"(15.6, 56.0)","221.0",34.0438303386458,10.6013380126225,"(12.6, 53.8)","210.8"
"UIP",35.4832296459687,10.7638192592627,"(13.8, 55.6)","118.6",33.2045175514844,11.3397737499137,"(10.3, 54.6)"," 70.9"
"PBM-HS",35.2321412950375,10.474143054272,"(13.9, 54.6)","217.9",35.9829451952542,10.5167685658987,"(14.6, 55.6)","168.9"
"PBM-DL",34.813934496125,10.3366463385547,"(14.2, 54.0)","255.5",35.711498060375,10.2492098397397,"(14.7, 54.8)","236.6"
"PBM-SS",34.3295447222083,10.3082762277497,"(13.8, 53.5)","263.0",35.5307757950958,10.3002620492151,"(14.7, 54.7)","270.0"
"PBM-SSL",34.58366041055,10.3880783289752,"(13.4, 53.9)","199.4",35.8894211629375,10.4844102369999,"(14.8, 55.6)","206.8"
